Gene	Tau	Tissue
AT1G03280	0.164974356324	carpel
AT1G03290	0.308071417896	dark-grown seedling
AT1G03300	0.953716130914	carpel
AT1G03310	0.37733465171	shoot apical meristem
AT1G03320	0.868988832278	dark-grown seedling
AT1G03330	0.235567794597	carpel
AT1G03340	0.61934870877	dark-grown seedling
AT1G03350	0.170076652572	root
AT1G03360	0.382979288824	carpel
AT1G03365	0.307697047495	carpel
AT1G03370	0.199877030957	root
AT1G03380	0.37166413346	dark-grown seedling
AT1G03400	0.64754762604	aerial
AT1G03410	0.50179825749	dark-grown seedling
AT1G03420	0.187231247837	carpel
AT1G03430	0.244191318273	dark-grown seedling
AT1G03440	0.414128528566	aerial
AT1G03445	0.997975532425	pollen
AT1G03457	0.561285362798	pollen
AT1G03470	0.469912748893	dark-grown seedling
AT1G03475	0.293401441036	shoot apical meristem
AT1G03495	0.618761875018	aerial
AT1G03502	0.572779499777	dark-grown seedling
AT1G03506	0.61077881074	dark-grown seedling
AT1G03510	0.683969593322	carpel
AT1G03515	0.994258931256	light-grown seedling
AT1G03520	0.398677186396	receptacle
AT1G03530	0.393045511155	carpel
AT1G03540	0.732706544152	carpel
AT1G03545	0.652579311341	carpel
AT1G03550	0.286995418217	dark-grown seedling
AT1G03560	0.357112064176	carpel
AT1G03570	0.861530655056	aerial
AT1G03580	0.8883662602	dark-grown seedling
AT1G03590	0.260847160387	carpel
AT1G03600	0.336481317351	shoot apical meristem
AT1G03610	0.353144029718	pollen
AT1G03620	0.712442156309	pollen
AT1G03630	0.429814669054	shoot apical meristem
AT1G03650	0.387437028136	carpel
AT1G03660	0.550454868783	root apical meristem
AT1G03680	0.306141942217	aerial
AT1G03687	0.286493412705	carpel
AT1G03700	0.853526837527	root
AT1G03710	0.801777884461	carpel
AT1G03720	0.979763228754	carpel
AT1G03730	0.383095722073	root apical meristem
AT1G03740	0.376379893044	root
AT1G03743	0.778899615327	stage 12 inflorescence
AT1G03746	0.74280204217	receptacle
AT1G03750	0.377771039457	root
AT1G03760	0.365243129797	carpel
AT1G03770	0.408447796628	root
AT1G03780	0.588445402118	carpel
AT1G03790	0.974726332599	dark-grown seedling
AT1G03800	0.925579648977	dark-grown seedling
AT1G03810	1.0	light-grown seedling
AT1G03820	0.640817300069	receptacle
AT1G03830	0.517735677526	carpel
AT1G03840	0.767127953899	receptacle
AT1G03850	0.583253130641	root
AT1G03860	0.234463100246	root apical meristem
AT1G03870	0.388253670759	root apical meristem
AT1G03880	1.0	dark-grown seedling
AT1G03900	0.12377883472	root apical meristem
AT1G03905	0.552308161562	root apical meristem
AT1G03910	0.223116112667	carpel
AT1G03920	0.80560810604	pollen
AT1G03930	0.134261261858	leaf
